Date,Open,High,Low,Close,Adj Close,Volume
07/10/2022,235.770004,237.330002,224.279999,224.75,224.75,9806100
10/10/2022,225.639999,233.830002,224.229996,229.979996,229.979996,9991100
11/10/2022,226.050003,230.440002,213.699997,214.289993,214.289993,15282400
12/10/2022,214.300003,223.669998,212.639999,220.869995,220.869995,12952600
13/10/2022,212.690002,234.470001,211.729996,232.509995,232.509995,17505000
14/10/2022,237.800003,238.800003,229.509995,230,230,15293400
17/10/2022,234.410004,249.919998,234.399994,245.100006,245.100006,21057800
18/10/2022,249.800003,250.369995,237.729996,240.860001,240.860001,25776700
19/10/2022,265,279.299988,262.660004,272.380005,272.380005,46685300
20/10/2022,272.779999,278.380005,266.380005,268.160004,268.160004,17207100
21/10/2022,268.950012,290.75,265.679993,289.570007,289.570007,24889100
24/10/2022,290.230011,290.48999,280.359985,282.450012,282.450012,13326400
25/10/2022,286.950012,297.589996,285.549988,291.019989,291.019989,15100700
26/10/2022,290.040009,305.630005,288.040009,298.619995,298.619995,15714100
27/10/2022,298.329987,305.209991,294.779999,296.940002,296.940002,14612600
28/10/2022,297.700012,301.190002,292.290009,295.720001,295.720001,9960500
31/10/2022,295.130005,297.619995,289.5,291.880005,291.880005,7505100
01/11/2022,296.170013,299.700012,286.420013,286.75,286.75,6916400
02/11/2022,286.399994,287.329987,272.839996,273,273,10367600
03/11/2022,271.25,276.290009,268.799988,269.059998,269.059998,7057400
04/11/2022,272.019989,274.970001,255.320007,260.790009,260.790009,11124700
07/11/2022,261.059998,261.149994,252.089996,258.600006,258.600006,7927000
08/11/2022,259.920013,266.079987,256.880005,263.459991,263.459991,7683800
09/11/2022,259.660004,260.899994,254.220001,254.660004,254.660004,7266000
10/11/2022,265.98999,275.359985,260.089996,274.970001,274.970001,9667300
11/11/2022,274.470001,290.660004,271.559998,290.130005,290.130005,9573800
14/11/2022,290,311,288.190002,299.269989,299.269989,17978200
15/11/2022,309.200012,312.709991,302.549988,310.200012,310.200012,14626900
16/11/2022,309.940002,310.48999,303.609985,306.019989,306.019989,8038600
17/11/2022,294.720001,299.820007,291,295.279999,295.279999,9838200
18/11/2022,297.329987,298,287,287.980011,287.980011,8400100
21/11/2022,291,291.869995,282.660004,285.049988,285.049988,7256500
22/11/2022,284.98999,286.980011,277.339996,286.690002,286.690002,6245100
23/11/2022,285.910004,292.470001,283.76001,291.5,291.5,5919000
25/11/2022,289,289.209991,284.170013,285.540009,285.540009,3236000
28/11/2022,284,289.549988,280.529999,281.170013,281.170013,4703400
29/11/2022,282.5,282.959991,275.940002,280.959991,280.959991,5786900
30/11/2022,281.369995,308.26001,280.410004,305.529999,305.529999,16070100
01/12/2022,303.98999,319.799988,303.029999,316.950012,316.950012,14664900
02/12/2022,310.48999,321.98999,310,320.410004,320.410004,12690600
05/12/2022,316.459991,322.769989,310.920013,312.589996,312.589996,8423000
06/12/2022,311,313.220001,303.130005,305.559998,305.559998,7195400
07/12/2022,306.5,309.609985,302.100006,308.420013,308.420013,7821600
08/12/2022,309.109985,312.380005,304.809998,310.26001,310.26001,7205300
09/12/2022,321.450012,329,319.519989,320.01001,320.01001,14364000
12/12/2022,320,323.179993,308.850006,315.179993,315.179993,10148600
13/12/2022,328,332.720001,317.200012,320.339996,320.339996,10756400
14/12/2022,318.970001,324.709991,314.420013,317.829987,317.829987,7543300
15/12/2022,302.119995,303.390015,286.549988,290.410004,290.410004,17724600
16/12/2022,288.76001,294.720001,288.700012,290.709991,290.709991,14080000
19/12/2022,289.730011,292.25,286.130005,288.299988,288.299988,6163700
20/12/2022,281.23999,289.279999,280.809998,288.190002,288.190002,6918100
21/12/2022,289.98999,300.660004,286.5,297.959991,297.959991,6376200
22/12/2022,298.089996,298.880005,290.809998,297.75,297.75,7856200
23/12/2022,296.179993,298.459991,291.910004,294.959991,294.959991,4251100
27/12/2022,293.190002,293.570007,282.130005,284.170013,284.170013,5778100
28/12/2022,281.920013,285.190002,273.410004,276.880005,276.880005,5964400
29/12/2022,283.179993,295.5,281.01001,291.119995,291.119995,9588500
30/12/2022,285.529999,295.01001,283.220001,294.880005,294.880005,7566900
03/01/2023,298.059998,298.390015,288.700012,294.950012,294.950012,6764000
04/01/2023,298.23999,311.140015,295.51001,309.410004,309.410004,9345100
05/01/2023,307,314.179993,304.549988,309.700012,309.700012,8328400
06/01/2023,311.570007,316.769989,303.690002,315.549988,315.549988,8959800
09/01/2023,316.829987,321.700012,313.220001,315.170013,315.170013,6766600
10/01/2023,311.070007,329.350006,311.070007,327.540009,327.540009,13072300
